Current 2400, new: 2450 Lacktjo 96306231043432448 valorant
Robin: Game: dota New: 2425, prevMmr: 2350
Gaggg: Game: dota New: 2425, prevMmr: 2325
zarwil: Game: slapshot New: 2675, prevMmr: 2897
CATKNIFE: Game: slapshot New: 2525, prevMmr: 2552
Petter: Game: slapshot New: 2500, prevMmr: 2542
robyn_fenty: Game: slapshot New: 2500, prevMmr: 2536
Lacktjo: Game: slapshot New: 2500, prevMmr: 2473
Samev: Game: slapshot New: 2500, prevMmr: 2471
Robin: Game: slapshot New: 2450, prevMmr: 2400
Pippin: Game: slapshot New: 2450, prevMmr: 2396
Aios: Game: slapshot New: 2450, prevMmr: 2367
Banan: Game: slapshot New: 2450, prevMmr: 2366
Samev: Game: test New: 2525, prevMmr: 2575
Bambi på hal is: Game: test New: 2525, prevMmr: 2551
CATKNIFE: Game: test New: 2525, prevMmr: 2550
Banza1: Game: test New: 2500, prevMmr: 2525
Robin: Game: test New: 2500, prevMmr: 2501
Aios: Game: test New: 2500, prevMmr: 2499
Petter: Game: test New: 2500, prevMmr: 2476
Xavantex: Game: test New: 2475, prevMmr: 2450
Lacktjo: Game: test New: 2475, prevMmr: 2449
Simon: Game: test New: 2475, prevMmr: 2424
CATKNIFE: Game: valorant New: 2525, prevMmr: 2575
Petter: Game: valorant New: 2525, prevMmr: 2575
Robin: Game: valorant New: 2525, prevMmr: 2575
Senpai: Game: valorant New: 2525, prevMmr: 2550
Simon: Game: valorant New: 2525, prevMmr: 2550
PARaflaXet: Game: valorant New: 2500, prevMmr: 2525
Aios: Game: valorant New: 2500, prevMmr: 2475
Lester: Game: valorant New: 2500, prevMmr: 2475
Gaggg: Game: valorant New: 2500, prevMmr: 2475
Kalle: Game: valorant New: 2500, prevMmr: 2475
Von Dobblen: Game: valorant New: 2500, prevMmr: 2475
RoToX /jacob: Game: valorant New: 2475, prevMmr: 2450
Knas: Game: valorant New: 2475, prevMmr: 2425
Lacktjo: Game: valorant New: 2450, prevMmr: 2400
